Price,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Capital Gains,Close,Close,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA,HLAL,SPRE,SPSK,SPTE,SPUS,SPWO,UMMA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,0.0,,0.0,,0.0,,,26.510498046875,,18.095598220825195,,19.47816276550293,,,0.0,,0.0,,0.0,,,26.518140985378977,,18.255026876330916,,19.47816276550293,,,26.370049484523655,,18.041555103806225,,19.368921880279142,,,26.47514626718052,,18.08749098017248,,19.387920767752924,,,0.0,,0.0,,0.0,,,23000,,54700,,34100,,
2020-01-03,0.0,,0.0,,0.0,,,26.31273078918457,,18.07758903503418,,19.35561180114746,,,0.0,,0.0,,0.0,,,26.39871842606749,,18.104611461152412,,19.42590728168409,,,26.31273078918457,,18.07758903503418,,19.349913587675434,,,26.37961107473301,,18.101909046740563,,19.387909528763473,,,0.0,,0.0,,0.0,,,38100,,41100,,17000,,
2020-01-06,0.0,,0.0,,0.0,,,26.341392517089844,,18.023544311523438,,19.41451644897461,,,0.0,,0.0,,0.0,,,26.36050169062289,,18.068579966415758,,19.444913578643934,,,26.178968186761153,,18.005529362366467,,19.27392904481643,,,26.20763194706072,,18.068579966415758,,19.444913578643934,,,0.0,,0.0,,0.0,,,13900,,24700,,4800,,
2020-01-07,0.0,,0.0,,0.0,,,26.350948333740234,,18.12262725830078,,19.40501594543457,,,0.0,,0.0,,0.0,,,26.417828621876314,,18.158655443474164,,19.430664258248303,,,26.27642510477465,,18.059574927746766,,19.340422274897527,,,26.417828621876314,,18.059574927746766,,19.378418231948725,,,0.0,,0.0,,0.0,,,7900,,26700,,57800,,
2020-01-08,0.0,,0.0,,0.0,,,26.422607421875,,18.07758903503418,,19.4914608001709,,,0.0,,0.0,,0.0,,,26.53248244376672,,18.1721649494476,,19.568405747636,,,26.322285165059764,,18.07758903503418,,19.40691883460461,,,26.41782921698554,,18.1226264118979,,19.40691883460461,,,0.0,,0.0,,0.0,,,10600,,22300,,49900,,
2020-01-09,0.0,,0.0,,0.0,,,26.627063751220703,,18.07758903503418,,19.657697677612305,,,0.0,,0.0,,0.0,,,26.627063751220703,,18.095603985779668,,19.843881687567258,,,26.53247645503316,,18.07758903503418,,19.634899376743647,,,26.618465900122274,,18.095603985779668,,19.843881687567258,,,0.0,,0.0,,0.0,,,9300,,600,,2200,,
2020-01-10,0.0,,0.0,,0.0,,,26.578340530395508,,18.073087692260742,,19.64249610900879,,,0.0,,0.0,,0.0,,,26.752229262503768,,18.140641186296858,,19.748888772313148,,,26.542033831487597,,18.05957561905319,,19.63014846505826,,,26.752229262503768,,18.05957561905319,,19.72988988831237,,,0.0,,0.0,,0.0,,,21100,,18600,,38900,,
2020-01-13,0.0,,0.0,,0.0,,,26.797136306762695,,18.068578720092773,,19.800182342529297,,,0.0,,0.0,,0.0,,,26.80477924703437,,18.077586194049946,,19.800182342529297,,,26.639488362789834,,18.059571246135597,,19.69189088471972,,,26.656685889576625,,18.077586194049946,,19.69189088471972,,,0.0,,0.0,,0.0,,,24300,,3200,,34800,,
